pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,status
171679226822317,171679226822317,171679226822317002R,171679226822317002R,1.1,1,46381,46381,307534,307534,"0, SCAN_TB",0,1,1,2024-05-27 06:44:28,2024-05-27 06:44:28,0,0,0
173581796572253,173581796572253,173581796572253001R,173581796572253001R,2.1,2.1,2616,2616,452750,452750,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2025-01-02 14:40:08,2025-01-02 11:39:25,0,0,0
173857415599432,173857415599432,173857415599432001R,173857415599432001R,1.1,1.1,22788,22788,123511,123511,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:16:43,0,0,0
171704851279472,171704851279472,171704851279472001R,171704851279472001R,3.1,3.1,2614,2614,355654,355654,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-05-30 09:02:44,2024-05-30 06:02:37,0,0,0
172302325110438,172302325110438,172302325110438003R,172302325110438003R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:26,2024-08-07 09:37:22,0,0,0
173857440984102,173857440984102,173857440984102002R,173857440984102002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:20:16,0,0,0
171508110295962,171508110295962,171508110295962001R,171508110295962001R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 11:25:03,2024-05-07 11:25:03,0,0,0
171791739234192,171791739234192,171791739234192001R,171791739234192001R,2,2,35363,35363,351112,351112,"0, CSS_ACT","0, CSS_ACT",1,1,2024-06-09 10:16:59,2024-06-09 07:16:32,0,0,0
171681200302033,171681200302033,171681200302033001R,171681200302033001R,2.1,2,46443,46443,401175,401175,"0, CSS_ACT, SCAN_TB","0, CSS_ACT",1,1,2024-05-27 13:05:04,2024-05-27 12:13:23,0,0,0
172604362211065,172604362211065,172604362211065001R,172604362211065001R,2.1,2.1,18729,18729,401169,401169,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-09-11 11:33:48,2024-09-11 08:33:42,0,0,0
172828256887987,172828256887987,172828256887987001R,172828256887987001R,4.2,4.1,67629,67629,360995,360995,"0, CSSCommission, SCAN_TB, CSSCommission, CSSCommission","0, CSSCommission, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-11-05 09:54:00,2024-10-07 06:29:53,0,0,0
173857357827835,173857357827835,173857357827835005R,173857357827835005R,1.1,1.1,35021,35021,184431,184431,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:06:22,0,0,0
173857426828135,173857426828135,173857426828135003R,173857426828135003R,1,1,61292,61292,307392,307392,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:18:51,0,0,0
173857176890749,173857176890749,173857176890749002R,173857176890749002R,2.2,2.1,8090,8090,441520,441520,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 08:41:34,2025-02-03 08:36:08,0,0,0
171731897104881,171731897104881,171731897104881001R,171731897104881001R,2.1,2.1,46443,46443,401175,401175,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-06-02 12:03:23,2024-06-02 09:02:51,0,0,0
172109613562072,172109613562072,172109613562072002R,172109613562072002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-04 08:01:19,2024-07-16 02:16:35,0,0,0
172604362211065,172604362211065,172604362211065002R,172604362211065002R,2.1,2.1,18729,18729,401169,401169,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-09-11 11:33:48,2024-09-11 08:33:42,0,0,0
173857428206462,173857428206462,173857428206462002R,173857428206462002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:19:06,0,0,0
172254114813317,172254114813317,172254114813317002R,172254114813317002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-09-19 14:44:47,2024-08-01 19:39:30,0,0,0
172640562560120,172640562560120,172640562560120002R,172640562560120002R,2,2,18729,18729,401169,401169,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-15 16:07:59,2024-09-15 13:07:05,0,0,0
172743742135451,172743742135451,172743742135451001R,172743742135451001R,3.1,3.1,2614,2614,355653,355653,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-09-27 14:44:41,2024-09-27 11:43:43,0,0,0
171508082637743,171508082637743,171508082637743001R,171508082637743001R,1.3,1,35021,35021,184431,184431,"0, SCAN_TB, SCAN_TB, SCAN_TB",0,1,1,2024-05-07 11:20:26,2024-05-07 11:20:26,0,0,0
171266296120616,171266296120616,171266296120616002R,171266296120616002R,1.1,1,58635,58635,343151,343151,"0, SCAN_TB",0,1,1,2024-04-09 11:42:41,2024-04-09 11:42:41,0,0,0
171679723077762,171679723077762,171679723077762002R,171679723077762002R,2.1,2,3273,3273,351066,351066,"0, CSS_ACT, SCAN_TB","0, CSS_ACT",1,1,2024-05-27 09:21:43,2024-05-27 08:09:16,0,0,0
172336175821145,172336175821145,172336175821145001R,172336175821145001R,2,2,2618,2618,351052,351052,"0, CSS_ACT","0, CSS_ACT",1,1,2024-08-11 10:37:05,2024-08-11 07:36:59,0,0,0
171679954986383,171679954986383,171679954986383001R,171679954986383001R,1.2,1.1,61323,61323,294934,294934,"0, SCAN_TB, SCAN_TB","0, SCAN_TB",1,1,2024-05-27 08:45:49,2024-05-27 08:45:49,0,0,0
171501433607256,171501433607256,171501433607256002R,171501433607256002R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-06 16:52:16,2024-05-06 16:52:16,0,0,0
171679954986383,171679954986383,171679954986383002R,171679954986383002R,1.2,1.1,61323,61323,294934,294934,"0, SCAN_TB, SCAN_TB","0, SCAN_TB",1,1,2024-05-27 08:45:49,2024-05-27 08:45:49,0,0,0
173857176890749,173857176890749,173857176890749001R,173857176890749001R,2.2,2.1,8090,8090,441520,441520,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 08:41:34,2025-02-03 08:36:08,0,0,0
173857478025825,173857478025825,173857478025825001R,173857478025825001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:26:25,0,0,0
172302291124807,172302291124807,172302291124807008R,172302291124807008R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
171680239955973,171680239955973,171680239955973003R,171680239955973003R,1.1,1,46385,46385,234219,234219,"0, SCAN_TB",0,1,1,2024-05-27 09:33:19,2024-05-27 09:33:19,0,0,0
172004102567217,172004102567217,172004102567217003R,172004102567217003R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-04 09:04:59,2024-07-03 21:14:05,0,0,0
172302291124807,172302291124807,172302291124807004R,172302291124807004R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
172734168931997,172734168931997,172734168931997003R,172734168931997003R,2,2,46443,46443,401175,401175,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-26 12:09:01,2024-09-26 09:08:09,0,0,0
172302291124807,172302291124807,172302291124807009R,172302291124807009R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
171680239955973,171680239955973,171680239955973004R,171680239955973004R,1.1,1,46385,46385,234219,234219,"0, SCAN_TB",0,1,1,2024-05-27 09:33:19,2024-05-27 09:33:19,0,0,0
172272310149979,172272310149979,172272310149979001R,172272310149979001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-14 12:23:42,2024-08-03 22:14:00,0,0,0
172272310149979,172272310149979,172272310149979002R,172272310149979002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-14 12:23:42,2024-08-03 22:14:00,0,0,0
173262014710929,173262014710929,173262014710929004R,173262014710929004R,1.1,1.1,60758,60758,289772,289772,"0, TP_SCAN_OWN_3_1","0, TP_SCAN_OWN_3_1",1,1,2024-11-26 14:24:04,2024-11-26 11:23:18,0,0,0
173850251550975,173850251550975,173850251550975001R,173850251550975001R,1.2,1.1,83038,83038,426594,426594,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 09:25:38,2025-02-02 13:21:55,0,0,0
173857357827835,173857357827835,173857357827835001R,173857357827835001R,1.1,1.1,35021,35021,184431,184431,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:06:22,0,0,0
171282381399853,171282381399853,171282381399853004R,171282381399853004R,2,4,58635,58635,343151,343151,"0, CSS_ACT","0, CSS_ACT, SCANOPTMIZE",1,1,2024-04-11 10:04:13,2024-04-11 10:04:13,0,0,0
171508110295962,171508110295962,171508110295962002R,171508110295962002R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 11:25:03,2024-05-07 11:25:03,0,0,0
173857302363277,173857302363277,173857302363277002R,173857302363277002R,1.1,1.1,60021,60021,287685,287685,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 08:57:10,0,0,0
173857468596966,173857468596966,173857468596966001R,173857468596966001R,1.2,1.1,90350,90350,458591,458591,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 09:24:54,2025-02-03 09:24:52,0,0,0
173857486930624,173857486930624,173857486930624002R,173857486930624002R,1,1,58635,58635,437715,437715,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:27:58,0,0,0
171704851279472,171704851279472,171704851279472002R,171704851279472002R,3,3,2614,2614,355654,355654,"0, CSS_ACT, CSSCommission","0, CSS_ACT, CSSCommission",1,1,2024-05-30 09:02:44,2024-05-30 06:02:37,0,0,0
171912855147217,171912855147217,171912855147217003R,171912855147217003R,3,3,3273,3273,410415,410415,"0, CSS_ACT, CSSCommission","0, CSS_ACT, CSSCommission",1,1,2024-06-23 10:46:23,2024-06-23 07:45:39,0,0,0
172302291124807,172302291124807,172302291124807007R,172302291124807007R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
171265304751216,171265304751216,171265304751216002R,171265304751216002R,1.7,1.6,46381,46381,307534,307534,"0, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB","0, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB, SCAN_TB",1,1,2024-04-09 08:57:27,2024-04-09 08:57:27,0,0,0
172640562560120,172640562560120,172640562560120001R,172640562560120001R,2,2,18729,18729,401169,401169,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-15 16:07:59,2024-09-15 13:07:05,0,0,0
170757250174435,170757250174435,170757250174435002R,170757250174435002R,2.1,2,58635,58635,343151,343151,"0, CSS_ACT, SCAN_TB","0, CSS_ACT",1,1,2024-02-10 13:45:01,2024-02-10 13:41:41,0,0,0
171274203098347,171274203098347,171274203098347002R,171274203098347002R,3.1,3.1,46443,46443,351041,351041,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-04-10 12:41:01,2024-04-10 09:40:30,0,0,0
172109613562072,172109613562072,172109613562072001R,172109613562072001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-04 08:01:19,2024-07-16 02:16:35,0,0,0
171266296120616,171266296120616,171266296120616001R,171266296120616001R,1.1,1,58635,58635,343151,343151,"0, SCAN_TB",0,1,1,2024-04-09 11:42:41,2024-04-09 11:42:41,0,0,0
172004102567217,172004102567217,172004102567217001R,172004102567217001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-04 09:04:59,2024-07-03 21:14:05,0,0,0
173857385509216,173857385509216,173857385509216002R,173857385509216002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:11:00,0,0,0
171912855147217,171912855147217,171912855147217004R,171912855147217004R,3,3,3273,3273,410414,410414,"0, CSS_ACT, CSSCommission","0, CSS_ACT, CSSCommission",1,1,2024-06-23 10:46:23,2024-06-23 07:45:39,0,0,0
172027736871883,172027736871883,172027736871883002R,172027736871883002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-14 09:22:56,2024-07-06 14:50:56,0,0,0
172916284290633,172916284290633,172916284290633002R,172916284290633002R,2.1,2.1,2614,2614,355654,355654,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-10-17 14:01:33,2024-10-17 11:00:42,0,0,0
170757037989741,170757037989741,170757037989741002R,170757037989741002R,2.1,2,46505,46505,343161,343161,"0, CSS_ACT, SCAN_TB","0, CSS_ACT",1,1,2024-02-10 13:07:04,2024-02-10 13:06:19,0,0,0
171680523717013,171680523717013,171680523717013002R,171680523717013002R,1.1,1,35021,35021,184431,184431,"0, SCAN_TB",0,1,1,2024-05-27 10:20:37,2024-05-27 10:20:37,0,0,0
173857385509216,173857385509216,173857385509216001R,173857385509216001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:11:00,0,0,0
171680133896969,171680133896969,171680133896969002R,171680133896969002R,1.1,1,46381,46381,307534,307534,"0, SCAN_TB",0,1,1,2024-05-27 09:15:39,2024-05-27 09:15:39,0,0,0
171912855147217,171912855147217,171912855147217001R,171912855147217001R,3,3,3273,3273,410415,410415,"0, CSS_ACT, CSSCommission","0, CSS_ACT, CSSCommission",1,1,2024-06-23 10:46:23,2024-06-23 07:45:39,0,0,0
173857486930624,173857486930624,173857486930624001R,173857486930624001R,1.1,1.1,58635,58635,437714,437714,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:27:58,0,0,0
170047424767880,170047424767880,1707991130717808128R,1707991130717808128R,3,2,58635,58635,282320,282320,"SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN, OAPI37_RFN","SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN, OAPI37_RFN",1,1,2024-02-15 09:58:50,2024-02-15 09:58:50,2,2,0
171791739234192,171791739234192,171791739234192002R,171791739234192002R,2.1,2.1,35363,35363,351112,351112,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-06-09 10:16:59,2024-06-09 07:16:32,0,0,0
172004102567217,172004102567217,172004102567217002R,172004102567217002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-04 09:04:59,2024-07-03 21:14:05,0,0,0
172285702701583,172285702701583,172285702701583002R,172285702701583002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-06 11:21:14,2024-08-05 11:25:25,0,0,0
