pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,row_type,status
173813512959948,173813512959948,173813512959948002R,173813512959948002R,3,3,73236,73236,356278,356278,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,2,0
173799339290535,173799339290535,173799339290535003R,173799339290535003R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173639623055834,173639623055834,173639623055834018R,173639623055834018R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,2,0
173816447173269,173816447173269,173816447173269001R,173816447173269001R,2,1.1,64913,64913,439233,439233,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-29 15:27:59,2,0,17,0
171679738834114,171679738834114,171679738834114001R,171679738834114001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-05-27 08:09:48,2,0,17,0
173799339290535,173799339290535,173799339290535001R,173799339290535001R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173817477665820,173817477665820,173817477665820001R,173817477665820001R,2,1,65260,65260,312590,312590,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 18:20:02,2,0,3,0
173813512959948,173813512959948,173813512959948002R,173813512959948002R,3,3,73236,73236,356278,356278,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,1,0
173639623055834,173639623055834,173639623055834018R,173639623055834018R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,17,0
173831631566103,173831631566103,173831631566103005R,173831631566103005R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,1,0
173817477665820,173817477665820,173817477665820001R,173817477665820001R,2,1,65260,65260,312590,312590,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 18:20:02,2,0,17,0
173813512959948,173813512959948,173813512959948002R,173813512959948002R,3,3,73236,73236,356278,356278,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,17,0
173813512959948,173813512959948,173813512959948002R,173813512959948002R,3,3,73236,73236,356278,356278,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,3,0
173646629445027,173646629445027,173646629445027002R,173646629445027002R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,4,0
173816091470326,173816091470326,173816091470326001R,173816091470326001R,2,1,64913,64913,439233,439233,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 14:28:40,2,0,3,0
170970212637056,170970212637056,170970212637056001R,170970212637056001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-03-06 05:15:26,2,0,4,0
173646629445027,173646629445027,173646629445027001R,173646629445027001R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,17,0
173808782456042,173808782456042,173808782456042002R,173808782456042002R,2,2,82622,82622,415485,415485,"0,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-28 18:10:36,2,0,3,0
173816447173269,173816447173269,173816447173269001R,173816447173269001R,2,1.1,64913,64913,439233,439233,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-29 15:27:59,2,0,2,0
173813542973551,173813542973551,173813542973551001R,173813542973551001R,2,2,48163,40366,244503,202796,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:50:08,2,1,2,0
173813512959948,173813512959948,173813512959948001R,173813512959948001R,3,3,73236,73236,355612,355612,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,3,0
173816091470326,173816091470326,173816091470326001R,173816091470326001R,2,1,64913,64913,439233,439233,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 14:28:40,2,0,2,0
171679738834114,171679738834114,171679738834114001R,171679738834114001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-05-27 08:09:48,2,0,2,0
173813512959948,173813512959948,173813512959948001R,173813512959948001R,3,3,73236,73236,355612,355612,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,17,0
173646629445027,173646629445027,173646629445027001R,173646629445027001R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,3,0
173817477665820,173817477665820,173817477665820001R,173817477665820001R,2,1,65260,65260,312590,312590,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 18:20:02,2,0,2,0
173809102623342,173809102623342,173809102623342002R,173809102623342002R,2,1,67766,67766,358965,358965,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-28 19:05:11,2,0,17,0
173808782456042,173808782456042,173808782456042002R,173808782456042002R,2,2,82622,82622,415485,415485,"0,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-28 18:10:36,2,0,4,0
173831631566103,173831631566103,173831631566103006R,173831631566103006R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,2,0
173799326101468,173799326101468,173799326101468003R,173799326101468003R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173831631566103,173831631566103,173831631566103006R,173831631566103006R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,1,0
173816447173269,173816447173269,173816447173269001R,173816447173269001R,2,1.1,64913,64913,439233,439233,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-29 15:27:59,2,0,4,0
173646629445027,173646629445027,173646629445027001R,173646629445027001R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,4,0
171679738834114,171679738834114,171679738834114001R,171679738834114001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-05-27 08:09:48,2,0,1,0
173817477665820,173817477665820,173817477665820001R,173817477665820001R,2,1,65260,65260,312590,312590,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 18:20:02,2,0,4,0
173813542973551,173813542973551,173813542973551001R,173813542973551001R,2,2,48163,40374,244503,206412,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:50:08,2,1,2,0
173808782456042,173808782456042,173808782456042002R,173808782456042002R,2,2,82622,82622,415485,415485,"0,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-28 18:10:36,2,0,2,0
173639623055834,173639623055834,173639623055834019R,173639623055834019R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,17,0
170970212637056,170970212637056,170970212637056001R,170970212637056001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-03-06 05:15:26,2,0,17,0
173831631566103,173831631566103,173831631566103005R,173831631566103005R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,3,0
173639623055834,173639623055834,173639623055834019R,173639623055834019R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,4,0
173813235746716,173813235746716,173813235746716013R,173813235746716013R,2,2,48163,40374,244503,206412,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 06:50:05,2,1,2,0
173831631566103,173831631566103,173831631566103006R,173831631566103006R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,3,0
173808782456042,173808782456042,173808782456042002R,173808782456042002R,2,2,82622,82622,415485,415485,"0,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-28 18:10:36,2,0,17,0
173639623055834,173639623055834,173639623055834019R,173639623055834019R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,3,0
173813235746716,173813235746716,173813235746716013R,173813235746716013R,2,2,48163,40366,244503,202796,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 06:50:05,2,1,2,0
173581892511962,173581892511962,173581892511962005R,173581892511962005R,2,2,40370,603,347879,268473,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-02 12:35:26,2,1,2,0
173831631566103,173831631566103,173831631566103005R,173831631566103005R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,4,0
173831631566103,173831631566103,173831631566103005R,173831631566103005R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,2,0
173816091470326,173816091470326,173816091470326001R,173816091470326001R,2,1,64913,64913,439233,439233,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 14:28:40,2,0,1,0
173799357631865,173799357631865,173799357631865001R,173799357631865001R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173813512959948,173813512959948,173813512959948001R,173813512959948001R,3,3,73236,73236,355612,355612,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,2,0
173809102623342,173809102623342,173809102623342002R,173809102623342002R,2,1,67766,67766,358965,358965,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-28 19:05:11,2,0,1,0
170970212637056,170970212637056,170970212637056001R,170970212637056001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-03-06 05:15:26,2,0,3,0
173639623055834,173639623055834,173639623055834018R,173639623055834018R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,4,0
173581892511962,173581892511962,173581892511962005R,173581892511962005R,2,2,40370,1362,347879,351909,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-02 12:35:26,2,1,2,0
173799326101468,173799326101468,173799326101468001R,173799326101468001R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173816091470326,173816091470326,173816091470326001R,173816091470326001R,2,1,64913,64913,439233,439233,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 14:28:40,2,0,17,0
173809102623342,173809102623342,173809102623342002R,173809102623342002R,2,1,67766,67766,358965,358965,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-28 19:05:11,2,0,4,0
173809102623342,173809102623342,173809102623342002R,173809102623342002R,2,1,67766,67766,358965,358965,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-28 19:05:11,2,0,3,0
173646629445027,173646629445027,173646629445027002R,173646629445027002R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,3,0
173816091470326,173816091470326,173816091470326001R,173816091470326001R,2,1,64913,64913,439233,439233,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 14:28:40,2,0,4,0
173831631566103,173831631566103,173831631566103006R,173831631566103006R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,17,0
173581892511962,173581892511962,173581892511962007R,173581892511962007R,2,2,40370,1362,347879,351909,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-02 12:35:26,2,1,2,0
173799357631865,173799357631865,173799357631865003R,173799357631865003R,2,2,3273,9676,459500,62452,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-27 16:35:16,2,1,2,0
173646629445027,173646629445027,173646629445027001R,173646629445027001R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,1,0
173639623055834,173639623055834,173639623055834019R,173639623055834019R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,2,0
173809102623342,173809102623342,173809102623342002R,173809102623342002R,2,1,67766,67766,358965,358965,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-28 19:05:11,2,0,2,0
173646629445027,173646629445027,173646629445027002R,173646629445027002R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,2,0
173816447173269,173816447173269,173816447173269001R,173816447173269001R,2,1.1,64913,64913,439233,439233,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-29 15:27:59,2,0,3,0
173813512959948,173813512959948,173813512959948002R,173813512959948002R,3,3,73236,73236,356278,356278,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,4,0
173808782456042,173808782456042,173808782456042002R,173808782456042002R,2,2,82622,82622,415485,415485,"0,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-28 18:10:36,2,0,1,0
171679738834114,171679738834114,171679738834114001R,171679738834114001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-05-27 08:09:48,2,0,3,0
173581892511962,173581892511962,173581892511962007R,173581892511962007R,2,2,40370,603,347879,268473,"0, OAPI35_PMTRFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-02 12:35:26,2,1,2,0
173639623055834,173639623055834,173639623055834018R,173639623055834018R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,1,0
171679738834114,171679738834114,171679738834114001R,171679738834114001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-05-27 08:09:48,2,0,4,0
173831631566103,173831631566103,173831631566103005R,173831631566103005R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,17,0
173646629445027,173646629445027,173646629445027002R,173646629445027002R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,1,0
173816447173269,173816447173269,173816447173269001R,173816447173269001R,2,1.1,64913,64913,439233,439233,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-29 15:27:59,2,0,1,0
173639623055834,173639623055834,173639623055834018R,173639623055834018R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,3,0
173813512959948,173813512959948,173813512959948001R,173813512959948001R,3,3,73236,73236,355612,355612,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,4,0
173639623055834,173639623055834,173639623055834019R,173639623055834019R,3,2,65234,65234,312543,312543,"0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE, OAPI37_RFN","0,OAPI37_OU,OAPI37_OU, OAPI37_INACTIVE",0,0,1970-01-01 00:00:01,2025-01-09 04:37:41,2,1,1,0
173646629445027,173646629445027,173646629445027002R,173646629445027002R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,17,0
170970212637056,170970212637056,170970212637056001R,170970212637056001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-03-06 05:15:26,2,0,2,0
173831631566103,173831631566103,173831631566103006R,173831631566103006R,6,6,62830,62830,434934,434934,"0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN","0, VOUCHER_RELEASE, OAPI37_RFN,OAPI35_RFN, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-31 09:47:43,2,1,4,0
170970212637056,170970212637056,170970212637056001R,170970212637056001R,9,9,66584,66584,330240,330240,"0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN","0,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_OU,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-03-06 05:15:26,2,0,1,0
173817477665820,173817477665820,173817477665820001R,173817477665820001R,2,1,65260,65260,312590,312590,"0, OAPI37_RFN",0,0,0,1970-01-01 00:00:01,2025-01-29 18:20:02,2,0,1,0
173646629445027,173646629445027,173646629445027001R,173646629445027001R,2,1.1,65234,65234,312543,312543,"0,OAPI37_OU, OAPI37_RFN","0,OAPI37_OU",0,0,1970-01-01 00:00:01,2025-01-09 23:50:04,2,0,2,0
173813512959948,173813512959948,173813512959948001R,173813512959948001R,3,3,73236,73236,355612,355612,"0, ADMND_RSV,OAPI35_RFN","0, ADMND_RSV,OAPI35_RFN",0,0,1970-01-01 00:00:01,2025-01-29 07:21:36,2,0,1,0
164896634695621,164896634695621,164896634695621001R,164896634695621001R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,3,0
164896634695621,164896634695621,164896634695621002R,164896634695621002R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,2,0
164896634695621,164896634695621,164896634695621001R,164896634695621001R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,4,0
164896634695621,164896634695621,164896634695621002R,164896634695621002R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,4,0
164896634695621,164896634695621,164896634695621009R,164896634695621009R,2,2,24884,24884,136179,136179,"0, TP_SCAN_OWN_3_1, OAPI37_RFN","0, TP_SCAN_OWN_3_1, OAPI35_RFN, OAPI35_RFN",1,0,2022-04-03 09:52:35,2022-04-03 06:15:50,1,2,3,0
164896634695621,164896634695621,164896634695621007R,164896634695621007R,2,2,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN","0, TP_SCAN_OWN_3_1, OAPI35_RFN, OAPI35_RFN",1,0,2022-04-03 09:52:35,2022-04-03 06:15:50,1,2,2,0
164896634695621,164896634695621,164896634695621001R,164896634695621001R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,17,0
164896634695621,164896634695621,164896634695621002R,164896634695621002R,3,1.1,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN, OAPI37_RFN","0, TP_SCAN_OWN_3_1",1,1,2022-04-03 09:52:35,2022-04-03 06:15:50,2,0,17,0
164896634695621,164896634695621,164896634695621009R,164896634695621009R,2,2,24884,24884,136179,136179,"0, TP_SCAN_OWN_3_1, OAPI37_RFN","0, TP_SCAN_OWN_3_1, OAPI35_RFN, OAPI35_RFN",1,0,2022-04-03 09:52:35,2022-04-03 06:15:50,1,2,17,0
164896634695621,164896634695621,164896634695621007R,164896634695621007R,2,2,24884,24884,136178,136178,"0, TP_SCAN_OWN_3_1, OAPI37_RFN","0, TP_SCAN_OWN_3_1, OAPI35_RFN, OAPI35_RFN",1,0,2022-04-03 09:52:35,2022-04-03 06:15:50,1,2,4,0
